epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,72.2578,1.04704,2.29378,1.44997,1.33891,0.66807,0.61667,0.77804,0.47932,0.65883,0.6,0.71917,0.46595,1.58216,2.5673,1.65413,1.369,1.49533e-05,1.49533e-05,1.49533e-05
29,74.7709,1.12689,2.29042,1.72514,1.38897,0.66979,0.61667,0.86035,0.51083,0.6603,0.6,0.80164,0.49856,1.57135,2.57181,1.65663,1.36405,1.48474e-05,1.48474e-05,1.48474e-05
30,77.311,1.38731,3.41978,2.53575,1.62695,0.66979,0.61667,0.86035,0.51083,0.6603,0.6,0.80164,0.49856,1.57135,2.57181,1.65663,1.36405,1.46944e-05,1.46944e-05,1.46944e-05
31,79.8681,1.09632,2.32976,1.41704,1.33717,0.74336,0.6,0.77954,0.46783,0.67262,0.6,0.6929,0.4547,1.57175,2.57362,1.67986,1.36484,1.44942e-05,1.44942e-05,1.44942e-05
32,82.3127,0.89459,1.78684,1.19694,1.28026,0.74336,0.6,0.77954,0.46783,0.67262,0.6,0.6929,0.4547,1.57175,2.57362,1.67986,1.36484,1.42469e-05,1.42469e-05,1.42469e-05
33,84.7343,0.98231,3.49408,2.12545,1.50733,0.92418,0.4,0.77724,0.47499,0.7298,0.6,0.68806,0.459,1.58067,2.57652,1.72333,1.36879,1.39525e-05,1.39525e-05,1.39525e-05
34,87.2308,1.08457,2.42223,1.30808,1.2911,0.92418,0.4,0.77724,0.47499,0.7298,0.6,0.68806,0.459,1.58067,2.57652,1.72333,1.36879,1.3611e-05,1.3611e-05,1.3611e-05
35,89.952,1.01199,2.87252,2.42904,1.39125,0.92479,0.4,0.65283,0.41001,0.73516,0.43333,0.56425,0.39692,1.60441,2.58008,1.74191,1.37584,1.32223e-05,1.32223e-05,1.32223e-05
36,92.4321,1.15077,3.13465,1.72609,1.40167,0.92479,0.4,0.65283,0.41001,0.73516,0.43333,0.56425,0.39692,1.60441,2.58008,1.74191,1.37584,1.27866e-05,1.27866e-05,1.27866e-05
37,94.864,0.98268,1.82765,1.34091,1.29962,0.91759,0.4,0.71201,0.44385,0.82546,0.40256,0.64367,0.43381,1.60929,2.57824,1.78256,1.38348,1.23036e-05,1.23036e-05,1.23036e-05
